,1stFlrSF,2ndFlrSF,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YrSold,HasGarage,GarageYearDiff,IsRemod,RemodYearDiff,SalePrice
0,856,854,None,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1.0,0.0,Gd,150.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,548.0,2.0,TA,RFn,TA,Attchd,1710,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8450,Inside,65.0,Reg,60,RL,196.0,BrkFace,None,2,CollgCr,61,5,7,Y,Gable,Normal,WD,0,8,856.0,0,2003,2008,1,0.0,0,0,208500
1,1262,0,None,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0.0,1.0,Gd,284.0,Y,Feedr,SBrkr,0,TA,TA,MetalSd,MetalSd,None,TA,1,CBlock,2,Typ,460.0,2.0,TA,RFn,TA,Attchd,1262,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,9600,FR2,80.0,Reg,20,RL,0.0,None,None,5,Veenker,0,8,6,Y,Gable,Normal,WD,0,6,1262.0,298,1976,2007,1,0.0,0,0,181500
2,920,866,None,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1.0,0.0,Gd,434.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,608.0,2.0,TA,RFn,TA,Attchd,1786,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250,Inside,68.0,IR1,60,RL,162.0,BrkFace,None,9,CollgCr,42,5,7,Y,Gable,Normal,WD,0,6,920.0,0,2001,2008,1,0.0,1,1,223500
3,961,756,None,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1.0,0.0,TA,540.0,Y,Norm,SBrkr,272,TA,TA,Wd Sdng,Wd Shng,None,Gd,1,BrkTil,1,Typ,642.0,3.0,TA,Unf,TA,Detchd,1717,0,GasA,Gd,2Story,1,Gd,Lvl,Gtl,9550,Corner,60.0,IR1,70,RL,0.0,None,None,2,Crawfor,35,5,7,Y,Gable,Abnorml,WD,0,7,756.0,0,1915,2006,1,83.0,1,55,140000
4,1145,1053,None,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1.0,0.0,Gd,490.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,836.0,3.0,TA,RFn,TA,Attchd,2198,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14260,FR2,84.0,IR1,60,RL,350.0,BrkFace,None,12,NoRidge,84,5,8,Y,Gable,Normal,WD,0,9,1145.0,192,2000,2008,1,0.0,0,0,250000
5,796,566,None,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1.0,0.0,Gd,64.0,Y,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,Wood,1,Typ,480.0,2.0,TA,Unf,TA,Attchd,1362,1,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,14115,Inside,85.0,IR1,50,RL,0.0,None,Shed,10,Mitchel,30,5,5,Y,Gable,Normal,WD,0,5,796.0,40,1993,2009,1,0.0,1,2,143000
6,1694,0,None,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1.0,0.0,Ex,317.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,636.0,2.0,TA,RFn,TA,Attchd,1694,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10084,Inside,75.0,Reg,20,RL,186.0,Stone,None,8,Somerst,57,5,8,Y,Gable,Normal,WD,0,7,1686.0,255,2004,2007,1,0.0,1,1,307000
7,1107,983,None,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1.0,0.0,Gd,216.0,Y,PosN,SBrkr,228,TA,TA,HdBoard,HdBoard,None,TA,2,CBlock,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2090,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,10382,Corner,68.0,IR1,60,RL,240.0,Stone,Shed,11,NWAmes,204,6,7,Y,Gable,Normal,WD,0,7,1107.0,235,1973,2009,1,0.0,0,0,200000
8,1022,752,None,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,952.0,Y,Artery,FuseF,205,TA,TA,BrkFace,Wd Shng,None,TA,2,BrkTil,2,Min1,468.0,2.0,TA,Unf,Fa,Detchd,1774,0,GasA,Gd,1.5Fin,2,TA,Lvl,Gtl,6120,Inside,51.0,Reg,50,RM,0.0,None,None,4,OldTown,0,5,7,Y,Gable,Abnorml,WD,0,8,952.0,90,1931,2008,1,0.0,1,19,129900
9,1077,0,None,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1.0,0.0,TA,140.0,Y,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,None,TA,2,BrkTil,1,Typ,205.0,1.0,TA,RFn,Gd,Attchd,1077,0,GasA,Ex,1.5Unf,2,TA,Lvl,Gtl,7420,Corner,50.0,Reg,190,RL,0.0,None,None,1,BrkSide,4,6,5,Y,Gable,Normal,WD,0,5,991.0,0,1939,2008,1,0.0,1,11,118000
